#,ごい,Vocabulary,Type,Meaning,Learning Status,Level
241,カレー,karee,"Noun, Katakana",curry,unseen,N5
,,,,,,
242,カレンダー,karendaa,"Noun, Katakana",calendar,unseen,N5
,,,,,,
243,借りる,kariru,"Verb, Ichidan verb, Transitive verb",to borrow,unseen,N5
,,かりる,,,unseen,N5
244,軽い,karui,"Adjective, い-adjective",light,unseen,N5
,,かるい,,,unseen,N5
245,傘,kasa,Noun,umbrella,unseen,N5
,,かさ,,,unseen,N5
246,貸す,kasu,"Verb, Godan verb, Transitive verb",to lend; to loan,unseen,N5
,,かす,,,unseen,N5
247,方,kata,Noun,way of doing something,unseen,N5
,,かた,,,unseen,N5
248,家庭,katei,Noun,household,unseen,N5
,,かてい,,,unseen,N5
249,買う,kau,"Verb, Godan verb, Transitive verb",to buy; to purchase,unseen,N5
,,かう,,,unseen,N5
250,川,kawa,"Noun, Suffix",river; stream​,unseen,N5
,,かわ,,,unseen,N5
251,可愛い,kawaii,"Adjective, い-adjective",cute,unseen,N5
,,かわいい,,,unseen,N5
252,火曜日,kayoubi,Noun,Tuesday,unseen,N5
,,かようび,,,unseen,N5
253,風,kaze,Noun,wind,unseen,N5
,,かぜ,,,unseen,N5
254,風邪,kaze,Noun,a cold,unseen,N5
,,かぜ,,,unseen,N5
255,家族,kazoku,Noun,family; members of a family,unseen,N5
,,かぞく,,,unseen,N5
256,警官,keikan,Noun,policeman; police officer,unseen,N5
,,けいかん,,,unseen,N5
257,結婚,kekkon,"Noun, Suru verb",marriage,unseen,N5
,,けっこん,,,unseen,N5
258,結構,kekkou,"Noun, Adverbial Noun, Adjective, な-adjective, Adverb","splendid, enough",unseen,N5
,,けっこう,,,unseen,N5
259,今朝,kesa,"Noun, Temporal noun",this morning,unseen,N5
,,けさ,,,unseen,N5
260,消す,kesu,"Verb, Godan verb, Transitive verb","to erase, to turn off power",unseen,N5
,,けす,,,unseen,N5
261,木,ki,Noun,tree; shrub; bush; wood; timber,unseen,N5
,,き,,,unseen,N5
262,消える,kieru,"Verb, Ichidan verb, Intransitive verb",to disappear,unseen,N5
,,きえる,,,unseen,N5
263,黄色い,kiiroi,"Adjective, い-adjective",yellow,unseen,N5
,,きいろい,,,unseen,N5
264,聞く,kiku,"Verb, Godan verb, Transitive verb",to hear; to listen (to music); to ask; to learn of,unseen,N5
,,きく,,,unseen,N5
265,昨日,kinou,Noun,yesterday,unseen,N5
,,きのう,,,unseen,N5
266,金曜日,kinyoubi,Noun,Friday,unseen,N5
,,きんようび,,,unseen,N5
267,切符,kippu,Noun,ticket,unseen,N5
,,きっぷ,,,unseen,N5
268,嫌い,kirai,"Noun, Adjective, な-adjective",hate,unseen,N5
,,きらい,,,unseen,N5
269,綺麗,kirei,"Adjective, な-adjective",pretty; lovely; beautiful,unseen,N5
,,きれい,,,unseen,N5
270,キログラム,kiro guramu,"Noun, Katakana",kilogram,unseen,N5
,,,,,,
271,キロメートル,kiro meetoru,"Noun, Katakana",kilometer,unseen,N5
,,,,,,
272,切る,kiru,"Verb, Godan verb, Transitive verb",to cut,unseen,N5
,,きる,,,unseen,N5
273,着る,kiru,"Verb, Ichidan verb, Transitive verb",to wear,unseen,N5
,,きる,,,unseen,N5
274,喫茶店,kissaten,Noun,coffee shop; tearoom; cafe,unseen,N5
,,きっさてん,,,unseen,N5
275,北,kita,Noun,north,unseen,N5
,,きた,,,unseen,N5
276,汚い,kitanai,"Adjective, い-adjective",dirty,unseen,N5
,,きたない,,,unseen,N5
277,切手,kitte,Noun,stamp (postage),unseen,N5
,,きって,,,unseen,N5
278,こっち,kocchi,Noun,this person or way,unseen,N5
,,,,,,
279,こちら,kochira,Noun,this way; this direction​,unseen,N5
,,,,,,
280,子供,kodomo,Noun,child,unseen,N5
,,こども,,,unseen,N5
281,声,koe,Noun,voice,unseen,N5
,,こえ,,,unseen,N5
282,ここ,koko,Pronoun,here; this place,unseen,N5
,,,,,,
283,九日,kokonoka,Noun,ninth day of the month / 9 days,unseen,N5
,,ここのか,,,unseen,N5
284,九つ,kokonotsu,"Noun, Numeric",nine; 9,unseen,N5
,,ここのつ,,,unseen,N5
285,困る,komaru,"Verb, Godan verb, Intransitive verb",to be troubled,unseen,N5
,,こまる,,,unseen,N5
286,今晩,konban,Noun,tonight; this evening,unseen,N5
,,こんばん,,,unseen,N5
287,今月,kongetsu,Noun,this month,unseen,N5
,,こんげつ,,,unseen,N5
288,こんな,konna,Pre-noun adjectival,such; like this​,unseen,N5
,,,,,,
289,この,kono,Pre-noun adjectival,this​,unseen,N5
,,,,,,
290,今週,konshuu,Noun,this week,unseen,N5
,,こんしゅう,,,unseen,N5
291,コーヒー,koohii,"Noun, Katakana",Coffee,unseen,N5
,,,,,,
292,コート,kooto,"Noun, Katakana",coat,unseen,N5
,,,,,,
293,コピー,kopii,"Noun, Suru verb, Katakana",copy; photocopy,unseen,N5
,,,,,,
294,コップ,koppu,"Noun, Katakana",glass (drinking vessel); tumbler​,unseen,N5
,,,,,,
295,これ,kore,Pronoun,this,unseen,N5
,,,,,,
296,答える,kotaeru,"Verb, Ichidan verb, Intransitive verb",to answer,unseen,N5
,,こたえる,,,unseen,N5
297,言葉,kotoba,Noun,word; words,unseen,N5
,,ことば,,,unseen,N5
298,今年,kotoshi,Noun,this year,unseen,N5
,,ことし,,,unseen,N5
299,交番,kouban,Noun,police box,unseen,N5
,,こうばん,,,unseen,N5
300,紅茶,koucha,Noun,black tea,unseen,N5
