#,Word,Hiragana,Romaji,Type,Meaning,Learning Status,Level
342.0,眼鏡,めがね,megane,Noun,glasses,unseen,N5
343.0,道,みち,michi,Noun,road; street,unseen,N5
344.0,緑,みどり,midori,Noun,green,unseen,N5
345.0,磨く,みがく,migaku,"Verb, Godan verb, Intransitive verb",to polish; to shine; to brush (e.g. teeth),unseen,N5
346.0,右,みぎ,migi,Noun,right; right hand side,unseen,N5
347.0,短い,みじかい,mijikai,"Adjective, い-adjective",short,unseen,N5
348.0,三日,みっか,mikka,Noun,the third day of the month / 3 days,unseen,N5
349.0,耳,みみ,mimi,Noun,ear; hearing,unseen,N5
350.0,南,みなみ,minami,Noun,south,unseen,N5
351.0,皆さん,みなさん,minasan,Noun,everyone,unseen,N5
352.0,みんな,,minna,"Noun, Adverb",all; everyone; everybody,unseen,N5
353.0,見る,みる,miru,"Verb, Ichidan verb, Transitive verb",to see; to look; to watch; to view; to observe,unseen,N5
354.0,店,みせ,mise,Noun,store; shop; establishment; restaurant,unseen,N5
355.0,見せる,みせる,miseru,"Verb, Ichidan verb, Transitive verb",to show; to display,unseen,N5
356.0,三つ,みっつ,mittsu,"Noun, Numeric",three; 3,unseen,N5
357.0,水,みず,mizu,Noun,water; fluid; liquid​,unseen,N5
358.0,木曜日,もくようび,mokuyoubi,Noun,Thursday,unseen,N5
359.0,門,もん,mon,Noun,gate,unseen,N5
360.0,問題,もんだい,mondai,Noun,problem; question (e.g. on a test),unseen,N5
361.0,物,もの,mono,Noun,thing,unseen,N5
362.0,持つ,もつ,motsu,"Verb, Godan verb",to hold,unseen,N5
363.0,もっと,,motto,Adverb,more; longer; further,unseen,N5
